BLOCKID|COUNTYFP|DISTRICT
240010002002003|001|34-000
240010002002004|001|34-000
240010002002005|001|21-000
240010002002006|001|34-000
240010002002007|001|34-000
240010002002008|001|34-000
240010002002009|001|34-000
240010002002010|001|34-000
240010002002011|001|34-000
240010002002012|001|34-000
240010002002013|001|34-000
240010002002014|001|21-000
240010002002015|001|21-000
240010002002016|001|21-000
240010002002017|001|21-000
240010002002018|001|21-000
240010002002019|001|21-000
240010002002020|001|21-000
240010002002021|001|21-000
240010002002022|001|21-000
240010002002023|001|21-000
240010002002024|001|21-000
240010002002025|001|21-000
240010002002026|001|21-000
240010002002027|001|21-000
240010002002028|001|21-000
240010002002029|001|21-000
240010002002030|001|21-000
240010002002031|001|21-000
240010002002032|001|21-000
240010002002033|001|21-000
240010002002034|001|21-000
240010002002035|001|21-000
240010002002036|001|21-000
240010002002037|001|21-000
240010002002038|001|34-000
240010002003000|001|16-000
240010002003001|001|16-000
240010002003002|001|16-000
240010002003003|001|16-000
240010002003004|001|16-000
240010002003005|001|16-000
240010002003006|001|16-000
240010002003007|001|16-000
240010002003008|001|16-000
240010002003009|001|16-000
240010002003010|001|16-000
240010002003011|001|16-000
240010002003012|001|16-000
240010002003013|001|16-000
240010002003014|001|16-000
240010002003015|001|16-000
240010002003016|001|16-000
240010002003017|001|16-000
240010002003018|001|16-000
240010002003019|001|16-000
240010002003020|001|16-000
240010002003021|001|16-000
240010002003022|001|16-000
240010002003023|001|16-000
240010002003024|001|16-000
240010002003025|001|16-000
240010002003026|001|16-000
240010002003027|001|16-000
240010002003028|001|16-000
240010002003029|001|16-000
240010002003030|001|16-000
240010002003031|001|16-000
240010002003032|001|16-000
240010002003033|001|16-000
240010002003034|001|16-000
240010002003035|001|16-000
240010002003036|001|16-000
240010005001000|001|22-001
240010005001001|001|22-001
240010005001002|001|22-001
240010005001003|001|22-001
240010005001004|001|22-001
240010005001005|001|22-001
240010005001006|001|22-001
240010005001007|001|22-001
240010005001008|001|22-001
240010005001009|001|22-001
240010005001010|001|22-001
240010005001011|001|22-001
240010005001012|001|22-001
240010005001013|001|22-001
240010005001014|001|22-001
240010005001015|001|22-001
240010005001016|001|22-001
240010005001017|001|22-001
240010005001018|001|22-001
240010005001019|001|22-001
240010005001020|001|22-001
240010005001021|001|22-001
240010005001022|001|22-001
240010005001023|001|22-001
240010005001024|001|22-001
240010005001025|001|22-001
240010005001026|001|22-001
240010005001027|001|22-001
240010005001028|001|22-001
240010005001029|001|22-001
240010005001030|001|22-001
240010005001031|001|22-001
240010005001032|001|22-001
240010005001033|001|22-001
240010005001034|001|22-001
240010005001035|001|22-001
240010005001036|001|22-001
240010005001037|001|22-001
240010005001038|001|22-001
240010005001039|001|22-001
240010005001040|001|22-001
240010005001041|001|22-001
240010005002000|001|22-002
240010005002001|001|22-002
240010005002002|001|22-001
240010005002003|001|22-001
240010005002004|001|22-001
240010005002005|001|22-001
240010005002006|001|22-001
240010005002007|001|22-001
240010005002008|001|22-001
240010005002009|001|22-001
240010005002010|001|22-001
240010005002011|001|22-001
240010005002012|001|22-001
240010005002013|001|22-001
240010005002014|001|22-001
240010005002015|001|22-001
240010005002016|001|22-001
240010005002017|001|22-001
240010005002018|001|22-001
240010005002019|001|22-001
240010005002020|001|22-001
240010005002021|001|22-001
240010005002022|001|22-001
240010005002023|001|22-001
240010005002024|001|22-001
240010005002025|001|22-001
240010005002026|001|22-001
240010005002027|001|22-001
240010005002028|001|22-001
240010005002029|001|22-001
240010005002030|001|22-001
240010005002031|001|22-001
240010005002032|001|22-001
240010005002033|001|22-001
240010006001000|001|04-004
240010006001001|001|04-004
240010006001002|001|04-004
240010006001003|001|04-004
240010006001004|001|04-004
240010006001005|001|04-004
240010006001006|001|04-004
240010006001007|001|04-004
240010006001008|001|04-004
240010006001009|001|04-004
240010006001010|001|04-004
240010006001011|001|04-008
240010006001012|001|04-004
240010006001013|001|04-008
240010006001014|001|04-008
240010006001015|001|04-004
240010006001016|001|04-004
240010006001017|001|04-004
240010006001018|001|04-004
240010006001019|001|04-004
240010006001020|001|04-004
240010006001021|001|04-004
240010006001022|001|04-004
240010006001023|001|04-004
240010006001024|001|04-004
240010006001025|001|04-004
240010006001026|001|04-004
240010006001027|001|04-004
240010006001028|001|04-004
240010006001029|001|04-004
240010006001030|001|04-004
240010006001031|001|04-004
240010006001032|001|04-004
240010006001033|001|04-004
240010006001034|001|04-004
240010006001035|001|04-004
240010006001036|001|04-004
240010006001037|001|04-004
240010006001038|001|04-004
240010006001039|001|04-004
240010006001040|001|04-004
240010006001041|001|04-004
240010006001042|001|04-004
240010006001043|001|04-004
240010006001044|001|04-004
240010006001045|001|04-004
240010006001046|001|04-004
240010006001047|001|04-004
240010006001048|001|04-004
240010006001049|001|04-004
240010006001050|001|04-004
240010006001051|001|04-004
240010006001052|001|04-004
240010006001053|001|04-004
240010006001054|001|04-004
240010006001055|001|04-004
240010006001056|001|04-004
240010006001057|001|04-004
240010006001058|001|04-004
240010006001059|001|04-004
240010006001060|001|04-004
240010006001061|001|04-008
240010006001062|001|04-008
240010006001063|001|04-004
240010006001064|001|04-008
240010006001065|001|04-008
240010006001066|001|04-008
240010006001067|001|04-008
240010006001068|001|04-008
240010006001069|001|04-008
240010006001070|001|04-008
240010006001071|001|04-008
240010006001072|001|04-008
240010006001073|001|04-008
240010006001074|001|04-004
240010006001075|001|04-004
240010006001076|001|16-000
240010006001077|001|04-008
240010006001078|001|04-008
240010006001079|001|04-008
240010006001080|001|04-008
240010006001081|001|04-008
240010006001082|001|04-008
240010006001083|001|04-008
240010006001084|001|04-008
240010006001085|001|16-000
240010006001086|001|16-000
240010006001087|001|16-000
240010006001088|001|04-008
240010006001089|001|16-000
240010006001090|001|16-000
240010006001091|001|16-000
240010006002000|001|04-002
240010006002001|001|04-002
240010006002002|001|04-002
240010006002003|001|04-002
240010006002004|001|04-002
240010006002005|001|04-002
240010006002006|001|04-002
240010006002007|001|04-002
240010006002008|001|04-002
240010006002009|001|04-004
240010006002010|001|04-002
240010006002011|001|04-002
240010006002012|001|04-004
240010006002013|001|04-004
240010006002014|001|04-004
240010006002015|001|04-004
240010006002016|001|04-002
240010006002017|001|04-002
240010006002018|001|04-002
240010006002019|001|04-003
240010006002020|001|04-004
240010006002021|001|04-004
240010006002022|001|04-004
