BLOCKID|DISTRICT
240010005001017|01C
240010005001018|01C
240010005001019|01C
240010005001020|01C
240010005001021|01C
240010005001022|01C
240010005001023|01C
240010005001024|01C
240010005001025|01C
240010005001026|01C
240010005001027|01C
240010005001028|01C
240010005001029|01C
240010005001030|01C
240010005001031|01C
240010005001032|01C
240010005001033|01C
240010005001034|01C
240010005001035|01C
240010005001036|01C
240010005001037|01C
240010005001038|01C
240010005001039|01C
240010005001040|01C
240010005001041|01C
240010005002000|01B
240010005002001|01B
240010005002002|01C
240010005002003|01C
240010005002004|01C
240010005002005|01C
240010005002006|01C
240010005002007|01C
240010005002008|01C
240010005002009|01C
240010005002010|01C
240010005002011|01C
240010005002012|01C
240010005002013|01C
240010005002014|01C
240010005002015|01C
240010005002016|01C
240010005002017|01C
240010005002018|01C
240010005002019|01C
240010005002020|01C
240010005002021|01C
240010005002022|01C
240010005002023|01C
240010005002024|01C
240010005002025|01C
240010005002026|01C
240010005002027|01C
240010005002028|01C
240010005002029|01C
240010005002030|01C
240010005002031|01C
240010005002032|01C
240010005002033|01C
240010006001000|01C
240010006001001|01C
240010006001002|01C
240010006001003|01C
240010006001004|01C
240010006001005|01C
240010006001006|01C
240010006001007|01C
240010006001008|01C
240010006001009|01C
240010006001010|01C
240010006001011|01C
240010006001012|01C
240010006001013|01C
240010006001014|01C
240010006001015|01C
240010006001016|01C
240010006001017|01C
240010006001018|01C
240010006001019|01C
240010006001020|01C
240010006001021|01C
240010006001022|01C
240010006001023|01C
240010006001024|01C
240010006001025|01C
240010006001026|01C
240010006001027|01C
240010006001028|01C
240010006001029|01C
240010006001030|01C
240010006001031|01C
240010006001032|01C
240010006001033|01C
240010006001034|01C
240010006001035|01C
240010006001036|01C
240010006001037|01C
240010006001038|01C
240010006001039|01C
240010006001040|01C
240010006001041|01C
240010006001042|01C
240010006001043|01C
240010006001044|01C
240010006001045|01C
240010006001046|01C
240010006001047|01C
240010006001048|01C
240010006001049|01C
240010006001050|01C
240010006001051|01C
240010006001052|01C
240010006001053|01C
240010006001054|01C
240010006001055|01C
240010006001056|01C
240010006001057|01C
240010006001058|01C
240010006001059|01C
240010006001060|01C
240010006001061|01C
240010006001062|01C
240010006001063|01C
240010006001064|01C
240010006001065|01C
240010006001066|01C
240010006001067|01C
240010006001068|01C
240010006001069|01C
240010006001070|01C
240010006001071|01C
240010006001072|01C
240010006001073|01C
240010006001074|01C
240010006001075|01C
240010006001076|01C
240010006001077|01C
240010006001078|01C
240010006001079|01C
240010006001080|01C
240010006001081|01C
240010006001082|01C
240010006001083|01C
240010006001084|01C
240010006001085|01C
240010006001086|01C
240010006001087|01C
240010006001088|01C
240010006001089|01C
240010006001090|01C
240010006001091|01C
240010006002000|01C
240010006002001|01C
240010006002002|01C
240010006002003|01C
240010006002004|01C
240010006002005|01C
240010006002006|01C
240010006002007|01C
240010006002008|01C
240010006002009|01C
240010006002010|01C
240010006002011|01C
240010006002012|01C
240010006002013|01C
240010006002014|01C
240010006002015|01C
240010006002016|01C
240010006002017|01C
240010006002018|01C
240010006002019|01C
240010006002020|01C
240010006002021|01C
240010006002022|01C
240010006002023|01C
240010006002024|01C
240010007001000|01C
240010007001001|01C
240010007001002|01C
240010007001003|01C
240010007001004|01C
240010007001005|01C
240010007001006|01C
240010007001007|01C
240010007001008|01C
240010007001009|01C
240010007001010|01C
240010007001011|01C
240010007001012|01C
240010007001013|01C
240010007001014|01C
240010007001015|01C
240010007001016|01C
240010007001017|01C
240010007001018|01C
240010007001019|01C
240010007001020|01C
240010007001021|01C
240010007001022|01C
240010007001023|01C
240010007001024|01C
240010007001025|01C
240010007001026|01C
240010007001027|01C
240010007001028|01C
240010007001029|01C
240010007001030|01C
240010007001031|01C
240010007001032|01C
240010007001033|01C
240010007001034|01C
240010007001035|01C
240010007001036|01C
240010007001037|01C
240010007001038|01C
240010007001039|01C
240010007001040|01C
