BLOCKID|PLACEFP
240010006001011|21325
240010006001012|21325
240010006001013|21325
240010006001014|21325
240010006001015|21325
240010006001016|21325
240010006001017|21325
240010006001018|21325
240010006001019|21325
240010006001020|21325
240010006001021|21325
240010006001022|21325
240010006001023|21325
240010006001024|21325
240010006001025|21325
240010006001026|21325
240010006001027|21325
240010006001028|21325
240010006001029|21325
240010006001030|21325
240010006001031|21325
240010006001032|21325
240010006001033|21325
240010006001034|21325
240010006001035|21325
240010006001036|21325
240010006001037|21325
240010006001038|21325
240010006001039|21325
240010006001040|21325
240010006001041|21325
240010006001042|21325
240010006001043|21325
240010006001044|21325
240010006001045|21325
240010006001046|21325
240010006001047|21325
240010006001048|21325
240010006001049|21325
240010006001050|21325
240010006001051|21325
240010006001052|21325
240010006001053|21325
240010006001054|21325
240010006001055|21325
240010006001056|21325
240010006001057|21325
240010006001058|21325
240010006001059|21325
240010006001060|21325
240010006001061|21325
240010006001062|21325
240010006001063|21325
240010006001064|21325
240010006001065|21325
240010006001066|21325
240010006001067|21325
240010006001068|21325
240010006001069|21325
240010006001070|21325
240010006001071|21325
240010006001072|21325
240010006001073|21325
240010006001074|
240010006001075|
240010006001076|
240010006001077|21325
240010006001078|21325
240010006001079|21325
240010006001080|21325
240010006001081|21325
240010006001082|21325
240010006001083|21325
240010006001084|
240010006001085|21325
240010006001086|21325
240010006001087|
240010006001088|21325
240010006001089|21325
240010006001090|21325
240010006001091|21325
240010006002000|21325
240010006002001|21325
240010006002002|21325
240010006002003|21325
240010006002004|21325
240010006002005|21325
240010006002006|21325
240010006002007|21325
240010006002008|21325
240010006002009|21325
240010006002010|21325
240010006002011|21325
240010006002012|21325
240010006002013|21325
240010006002014|21325
240010006002015|21325
240010006002016|21325
240010006002017|21325
240010006002018|21325
240010006002019|21325
240010006002020|21325
240010006002021|21325
240010006002022|21325
240010006002023|21325
240010006002024|21325
240010007001000|21325
240010007001001|21325
240010007001002|21325
240010007001003|21325
240010007001004|21325
240010007001005|21325
240010007001006|21325
240010007001007|21325
240010007001008|21325
240010007001009|21325
240010007001010|21325
240010007001011|21325
240010007001012|21325
240010007001013|21325
240010007001014|21325
240010007001015|21325
240010007001016|21325
240010007001017|21325
240010007001018|21325
240010007001019|21325
240010007001020|21325
240010007001021|21325
240010007001022|21325
240010007001023|21325
240010007001024|21325
240010007001025|21325
240010007001026|21325
240010007001027|21325
240010007001028|21325
240010007001029|21325
240010007001030|21325
240010007001031|21325
240010007001032|21325
240010007001033|21325
240010007001034|21325
240010007001035|21325
240010007001036|21325
240010007001037|21325
240010007001038|21325
240010007001039|21325
240010007001040|21325
240010007001041|21325
240010007001042|21325
240010007001043|21325
240010007001044|21325
240010007001045|21325
240010007001046|21325
240010007001047|21325
240010007001048|21325
240010007001049|21325
240010007001050|21325
240010007001051|21325
240010007001052|21325
240010007001053|21325
240010007001054|21325
240010007001055|21325
240010007001056|21325
240010007001057|21325
240010007001058|21325
240010007001059|21325
240010007001060|
240010007001061|
240010007001062|21325
240010007001063|21325
240010007001064|21325
240010007001065|21325
240010007001066|21325
240010007001067|21325
240010007001068|21325
240010007001069|21325
240010007002000|21325
240010007002001|21325
240010007002002|21325
240010007002003|21325
240010007002004|21325
240010007002005|21325
240010007002006|21325
240010007002007|21325
240010007002008|21325
240010007002009|21325
240010007002010|21325
240010007002011|21325
240010007002012|21325
240010007002013|21325
240010007002014|21325
240010007002015|21325
240010007002016|21325
240010007002017|21325
240010007002018|21325
240010007002019|21325
240010007002020|21325
240010007002021|21325
240010007002022|21325
240010007002023|21325
240010007002024|21325
240010007002025|21325
240010007002026|21325
240010007002027|21325
240010007002028|21325
240010007002029|21325
240010007002030|21325
240010007002031|21325
240010007002032|21325
240010007002033|21325
240010007002034|21325
240010007002035|21325
240010007002036|21325
240010007002037|21325
240010007002038|21325
240010007002039|21325
240010007002040|21325
240010007002041|21325
240010007002042|21325
240010007002043|21325
240010007002044|21325
240010007002045|21325
240010007002046|21325
240010007002047|21325
240010007002048|21325
240010007002049|21325
240010007002050|21325
240010007002051|21325
240010007002052|21325
240010007002053|21325
240010007002054|21325
240010007002055|21325
240010007002056|21325
240010007002057|21325
240010007002058|21325
240010007002059|21325
240010007002060|21325
240010007002061|21325
240010007002062|21325
240010007002063|21325
240010007002064|21325
240010007002065|21325
240010007002066|21325
240010007002067|21325
240010007002068|21325
240010007002069|21325
240010008001000|21325
240010008001001|21325
240010008001002|21325
240010008001003|21325
240010008001004|21325
240010008001005|21325
240010008001006|21325
240010008001007|21325
240010008001008|21325
240010008001009|
240010008001010|
240010008001011|21325
240010008001012|21325
240010008001013|21325
240010008001014|21325
240010008001015|21325
240010008001016|21325
240010008001017|21325
240010008001018|21325
240010008001019|21325
240010008001020|21325
240010008001021|21325
240010008001022|21325
240010008001023|21325
240010008001024|21325
240010008001025|21325
240010008001026|21325
240010008001027|21325
240010008001028|21325
240010008001029|21325
240010008001030|21325
240010008001031|21325
240010008001032|21325
240010008001033|21325
240010008001034|21325
240010008001035|21325
240010008001036|21325
240010008001037|21325
240010008001038|21325
240010008001039|21325
240010008001040|21325
240010008001041|21325
240010008001042|21325
240010008001043|21325
240010008001044|21325
240010008001045|21325
240010008001046|21325
240010008001047|21325
240010008001048|21325
240010008001049|21325
240010008001050|21325
240010008001051|21325
240010008001052|21325
240010008001053|21325
240010008001054|21325
240010008001055|21325
240010008001056|21325
240010008001057|21325
240010008001058|21325
240010008001059|21325
240010008001060|21325
240010008001061|21325
240010008001062|21325
240010008001063|21325
240010008001064|21325
240010008001065|21325
240010008001066|21325
240010008001067|21325
240010008001068|21325
240010008001069|21325
240010008001070|21325
240010008001071|21325
240010008001072|21325
240010008001073|21325
240010008001074|21325
240010008001075|21325
240010008001076|21325
240010008001077|21325
240010008001078|21325
240010008001079|21325
240010008001080|21325
240010008001081|21325
240010008001082|21325
240010008001083|21325
240010008001084|21325
240010008001085|21325
240010008001086|21325
240010008001087|21325
240010008001088|21325
240010008001089|21325
240010008001090|21325
240010008001091|21325
240010008001092|21325
240010008001093|21325
240010008001094|21325
240010008001095|21325
240010008001096|21325
240010008001097|21325
240010008001098|21325
240010008002000|21325
240010008002001|21325
240010008002002|21325
240010008002003|21325
240010008002004|21325
240010008002005|21325
240010008002006|21325
240010008002007|21325
240010008002008|21325
240010008002009|21325
240010008002010|21325
240010008002011|21325
240010008002012|21325
240010008002013|21325
240010008002014|21325
240010008002015|21325
240010008002016|21325
240010008002017|21325
240010008002018|21325
240010008002019|21325
240010008002020|21325
240010008002021|21325
240010008002022|21325
240010008002023|21325
240010008002024|21325
240010008002025|21325
240010008002026|21325
240010008002027|21325
240010008002028|21325
240010008002029|21325
240010008002030|21325
240010010001000|21325
240010010001001|21325
240010010001002|21325
240010010001003|21325
240010010001004|21325
240010010001005|21325
240010010001006|21325
240010010001007|21325
240010010001008|21325
240010010001009|21325
240010010001010|21325
240010010001011|21325
240010010001012|21325
240010010001013|21325
240010010001014|21325
240010010001015|21325
240010010001016|21325
240010010001017|21325
240010010001018|21325
240010010001019|21325
240010010001020|21325
240010010001021|21325
240010010001022|21325
240010010001023|21325
240010010001024|21325
240010010001025|21325
240010010001026|21325
240010010001027|21325
240010010001028|21325
240010010001029|21325
240010010001030|21325
240010010001031|21325
240010010001032|21325
240010010001033|21325
240010010001034|21325
240010010001035|21325
240010010001036|21325
240010010001037|21325
240010010001038|21325
240010010001039|21325
240010010001040|21325
240010010001041|21325
240010010001042|21325
240010010001043|21325
240010010001044|21325
240010010001045|21325
240010010001046|21325
240010010001047|21325
240010010001048|21325
240010010001049|21325
240010010001050|21325
240010010001051|21325
240010010001052|21325
240010010001053|21325
240010010001054|21325
240010010001055|21325
240010010001056|21325
240010010001057|21325
240010010001058|21325
240010010001059|21325
240010010001060|21325
240010010001061|21325
240010010001062|21325
240010010001063|21325
240010010001064|21325
240010010001065|21325
240010010001066|21325
240010010001067|21325
240010010001068|21325
240010010001069|21325
240010010001070|21325
240010010001071|21325
240010010001072|21325
240010010001073|21325
240010010001074|21325
240010010001075|21325
240010010001076|21325
240010010001077|21325
240010010001078|21325
240010010002000|21325
240010010002001|21325
240010010002002|21325
240010010002003|21325
240010010002004|21325
240010010002005|21325
240010010002006|21325
240010010002007|21325
240010010002008|21325
240010010002009|21325
240010010002010|21325
240010010002011|21325
240010010002012|21325
240010010002013|21325
240010010002014|21325
240010010002015|21325
240010010002016|21325
240010010002017|21325
240010010002018|21325
240010010002019|21325
240010010002020|21325
240010010002021|21325
240010010002022|21325
240010010002023|21325
240010010002024|21325
240010010002025|21325
240010010002026|21325
240010010002027|21325
240010010002028|21325
240010010002029|21325
240010010002030|21325
240010010002031|21325
240010010002032|21325
240010010002033|21325
240010010002034|21325
240010010002035|21325
240010010002036|21325
240010010002037|21325
240010010002038|21325
240010010002039|21325
240010010002040|21325
240010010002041|21325
240010010002042|21325
240010010002043|21325
240010010002044|21325
240010010002045|21325
240010010002046|21325
240010011001000|21325
240010011001001|21325
240010011001002|21325
240010011001003|21325
240010011001004|21325
240010011001005|21325
240010011001006|21325
240010011001007|21325
240010011001008|21325
240010011001009|21325
240010011001010|21325
240010011001011|21325
240010011001012|21325
240010011001013|21325
240010011001014|21325
240010011001015|21325
240010011001016|21325
240010011001017|21325
240010011001018|21325
240010011001019|21325
240010011001020|21325
240010011001021|21325
240010011001022|21325
240010011001023|21325
240010011001024|21325
240010011001025|21325
240010011001026|21325
240010011001027|21325
240010011001028|21325
240010011001029|21325
240010011001030|21325
240010011001031|21325
240010011002000|21325
240010011002001|21325
240010011002002|21325
240010011002003|21325
240010011002004|21325
240010011002005|21325
240010011002006|21325
240010011002007|21325
240010011002008|21325
240010011002009|21325
240010011002010|21325
240010011002011|21325
240010011002012|21325
240010011002013|21325
240010011002014|21325
240010011002015|21325
240010011002016|21325
240010011002017|21325
240010011002018|21325
240010011002019|21325
240010011002020|21325
240010011002021|21325
240010011002022|21325
240010011002023|21325
240010011002024|21325
240010011002025|21325
240010011002026|21325
240010011002027|21325
240010011002028|21325
240010011002029|21325
240010011002030|21325
240010011002031|21325
240010011002032|21325
240010011002033|21325
240010011002034|21325
240010011002035|
240010012001000|21325
240010012001001|21325
240010012001002|21325
240010012001003|21325
240010012001004|21325
240010012001005|21325
240010012001006|21325
240010012001007|21325
240010012001008|21325
240010012001009|21325
240010012001010|21325
240010012001011|21325
240010012001012|21325
240010012001013|21325
